iter	Passed	Remaining
779	44878	12657
780	44933	12599
781	44993	12542
782	45063	12488
783	45128	12433
784	45190	12377
785	45248	12319
786	45298	12259
787	45351	12201
788	45413	12144
789	45476	12088
790	45531	12030
791	45593	11973
792	45653	11917
793	45708	11858
794	45778	11804
795	45830	11745
796	45886	11687
797	45940	11629
798	45987	11568
799	46050	11512
800	46110	11455
801	46168	11398
802	46225	11340
803	46286	11283
804	46342	11225
805	46400	11168
806	46457	11110
807	46518	11053
808	46582	10997
809	46640	10940
810	46695	10882
811	46767	10827
812	46825	10770
813	46882	10712
814	46946	10656
815	47010	10600
816	47072	10543
817	47145	10489
818	47215	10434
819	47278	10378
820	47342	10322
821	47395	10263
822	47455	10206
823	47532	10152
824	47597	10096
825	47674	10042
826	47749	9988
827	47826	9935
828	47892	9878
829	47977	9826
830	48064	9774
831	48145	9721
832	48224	9668
833	48308	9615
834	48382	9560
835	48449	9504
836	48518	9448
837	48582	9391
838	48648	9335
839	48714	9278
840	48775	9221
841	48836	9164
842	48905	9108
843	48973	9052
844	49042	8995
845	49099	8937
846	49164	8881
847	49238	8825
848	49304	8769
849	49358	8710
850	49413	8651
851	49468	8593
852	49520	8534
853	49566	8473
854	49614	8414
855	49669	8355
856	49729	8297
857	49794	8241
858	49856	8183
859	49922	8126
860	49986	8069
861	50038	8010
862	50100	7953
863	50155	7894
864	50221	7838
865	50273	7779
866	50325	7720
867	50376	7660
868	50441	7603
869	50497	7545
870	50552	7487
871	50602	7427
872	50652	7368
873	50708	7310
874	50767	7252
875	50823	7194
876	50881	7136
877	50937	7077
878	50991	7019
879	51052	6961
880	51113	6904
881	51168	6845
882	51212	6785
883	51255	6725
884	51330	6670
885	51395	6612
886	51445	6553
887	51498	6495
888	51558	6437
889	51621	6380
890	51674	6321
891	51735	6263
892	51786	6205
893	51843	6146
894	51908	6089
895	51966	6031
896	52034	5974
897	52091	5916
898	52149	5858
899	52209	5801
900	52258	5742
901	52307	5683
902	52349	5623
903	52406	5565
904	52461	5507
905	52522	5449
906	52576	5391
907	52630	5332
908	52692	5275
909	52741	5216
910	52791	5157
911	52853	5099
912	52903	5041
913	52954	4982
914	53006	4924
915	53049	4864
916	53097	4806
917	53143	4747
918	53204	4689
919	53267	4631
920	53317	4573
921	53382	4516
922	53433	4457
923	53480	4398
924	53541	4341
925	53603	4283
926	53654	4225
927	53707	4166
928	53759	4108
929	53812	4050
930	53857	3991
931	53908	3933
932	53965	3875
933	54039	3818
934	54101	3761
935	54160	3703
936	54214	3645
937	54259	3586
938	54309	3528
939	54353	3469
940	54410	3411
941	54468	3353
942	54515	3295
943	54574	3237
944	54626	3179
945	54674	3120
946	54725	3062
947	54778	3004
948	54837	2946
949	54887	2888
950	54940	2830
951	54987	2772
952	55037	2714
953	55087	2656
954	55151	2598
955	55216	2541
956	55268	2483
957	55328	2425
958	55385	2367
959	55437	2309
960	55487	2251
961	55551	2194
962	55606	2136
963	55658	2078
964	55710	2020
965	55764	1962
966	55819	1904
967	55874	1847
968	55923	1789
969	55985	1731
970	56047	1673
971	56120	1616
972	56180	1558
973	56236	1501
974	56315	1443
975	56377	1386
976	56423	1328
977	56474	1270
978	56535	1212
979	56587	1154
980	56650	1097
981	56713	1039
982	56767	981
983	56828	924
984	56883	866
985	56934	808
986	56998	750
987	57046	692
988	57090	634
989	57146	577
990	57199	519
991	57242	461
992	57297	403
993	57346	346
994	57407	288
995	57462	230
996	57516	173
997	57579	115
998	57640	57
999	57704	0
